"cliente";"cpf_cnpj";"uf";"municipio";"municipio_codigo";"data_da_contratacao";"valor_da_operacao_em_reais";"valor_desembolsado_em_reais";"fonte_de_recurso_desembolsos";"modalidade_de_apoio";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"area_operacional";"setor_cnae";"subsetor_cnae_agrupado";"subsetor_cnae_codigo";"subsetor_cnae_nome";"setor_bndes";"subsetor_bndes";"porte_do_cliente";"natureza_do_cliente";"instituicao_financeira_credenciada";"cnpj_do_agente_financeiro";"situacao_da_operacao"
"JUMIL-JUSTINO DE MORAIS, IRMAOS S/A";"**.*44.668/0001-**";" SP";"BATATAIS";3505906;"24/09/2009";"7.166.400";"7.166.400";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO BRADESCO S.A.";"60.746.948.0001-12";"LIQUIDADA"
"JUMIL-JUSTINO DE MORAIS, IRMAOS S/A";"**.*44.668/0001-**";" SP";"BATATAIS";3505906;"24/09/2009";"4.170.120";"4.170.120";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2830000";"FABRICACAO DE TRATORES E DE MAQUINAS E EQUIP PARA AGRICULTURA E P";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO VOTORANTIM S.A.";"59.588.111.0001-03";"LIQUIDADA"
"JUMIL-JUSTINO DE MORAIS, IRMAOS S/A";"**.*44.668/0001-**";" SP";"BATATAIS";3505906;"24/09/2009";"15.000.000";"15.000.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO SANTANDER (BRASIL) S.A.";"90.400.888.0001-42";"LIQUIDADA"
"SCHULZ S/A";"**.*93.183/0001-**";" SC";"JOINVILLE";4209102;"28/09/2009";"20.331.067";"20.331.067";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2814300";"FABRICACAO DE COMPRESSORES";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"INDUMAK MAQUINAS LTDA";"**.*31.352/0001-**";" SC";"JARAGUA DO SUL";4208906;"28/09/2009";"500.000";"500.000";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2829199";"FAB OUTRAS MAQ EQ DE USO GERAL NAO ESPECI ANTERIOR PECA ACESS";"INDUSTRIA";"MECÂNICA";"MÉDIA";"PRIVADA";"BANCO VOTORANTIM S.A.";"59.588.111.0001-03";"LIQUIDADA"
"COMIL ONIBUS S.A. - EM RECUPERACAO JUDICIAL";"**.*40.956/0001-**";" RS";"ERECHIM";4307005;"28/09/2009";"9.738.188";"9.738.188";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Veículo, reboque e carroceria";"C2930100";"FAB DE CABINES, CARROCERIAS E REBOQUES PARA VEICULOS AUTOMOTORES";"INDUSTRIA";"MATERIAL DE TRANSPORTE";"GRANDE";"PRIVADA";"BANCO DO ESTADO DO RIO GRANDE DO SUL SA";"92.702.067.0001-96";"LIQUIDADA"
"SEW-EURODRIVE BRASIL LTDA";"**.*81.018/0001-**";" SP";"GUARULHOS";3518800;"28/09/2009";"5.999.993";"5.999.993";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2815100";"FABRICACAO DE EQUIPAMENTOS DE TRANSMISSAO PARA FINS INDUSTRIAIS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"IMPLEMENTOS AGRICOLAS JAN S A";"**.*95.226/0001-**";" RS";"NAO-ME-TOQUE";4312658;"29/09/2009";"1.791.000";"1.791.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO BRADESCO S.A.";"60.746.948.0001-12";"LIQUIDADA"
"JOHNSON CONTROLS BE DO BRASIL LTDA.";"**.*92.686/0001-**";" SP";"SAO PAULO";3550308;"30/09/2009";"7.171.200";"7.171.200";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2823200";"FAB MAQ APARELHO REFRIG VENTIL P/USO INDAL E COMAL PECA ACESS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"MAQUINAS SANMARTIN LTDA";"**.*86.672/0001-**";" RS";"CAXIAS DO SUL";4305108;"30/09/2009";"1.792.800";"1.792.800";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2862300";"FAB MAQ EQ INDUSTRIA ALIMENTOS BEBIDAS E FUMO PECAS E ACESSORIOS";"INDUSTRIA";"MECÂNICA";"MÉDIA";"PRIVADA";"BANCO SANTANDER (BRASIL) S.A.";"90.400.888.0001-42";"LIQUIDADA"
